Opportunity Name,Research Initiative,Stage,Sub-Stage,Level 2 Government,Bridge Name,GPS (Latitude),GPS (Longitude),Level 1 Government,Level 3 Government,Level 4 Government,Individuals Directly Served,Bridge Type,Span (m),Ground Breaking Date,Close Date,CaseSafeID,Project Code,Randomized Order
Rwanda - Rusayo - 1012004,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Rutsiro,Rusayo,-1.96222,29.461388,Western Province,Rusebeya-manihira-mushubati,Kabona/byiniro-haniro/rukondo-gitwa/rububa,2200,Suspended Bridge,108,10/17/22,1/31/23,006f100000cx4bNAAQ,1012004,10
Rwanda - Nyabihunyira - 1014011,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Nyamasheke,Nyabihunyira,-2.554196,29.043492,Western Province,Karengera~ nyakabuye,Higiro~ nyabintare,10588,Suspended Bridge,78,3/2/22,5/27/22,006f100000d1f2TAAQ,1014011,12
Rwanda - Nyabikeri - 1014031,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Karongi,Nyabikeri,-2.20900667,29.47158,Western Province,Ruganda,Nyabikeri(Nyabikeri-Gahororo),4001,Hybrid Suspension Bridge,90,7/2/20,6/18/21,006f100000d1fMsAAI,1014031,1
Rwanda - Kaduha - 1014039,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Karongi,Kaduha,-2.234305,29.436305,Western Province,Ruganda-Mutuntu,Nyamugwagwa-Murengezo(Kaduha-Karambo),5357,Suspended Bridge,77,3/15/23,7/7/23,006f100000d1fNWAAY,1014039,8
Rwanda - Munini I - 1014052,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Karongi,Munini I,-2.18836,29.37793,Western Province,Rwankuba sector,Nyantwa village ( Bigugu cell ) - Byimana village ( Munini cell ),2697,Suspension Bridge,63,11/15/21,2/18/22,006f100000d1fPNAAY,1014052,5
Rwanda - Mugonero - 1014056,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Karongi,Mugonero,-2.14763,29.34468,Western Province,Rwankuba sector,Kanyarusanga village ( Rubazo cell ) - Kigarama village ( Bisesero cell ),540,Suspended Bridge,104,7/6/20,6/25/21,006f100000d1fPrAAI,1014056,4
Rwanda - Gasharu - 1014069,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Karongi,Gasharu,-2.13333,29.3625,Western Province,Rwankuba sector,Gasharu village- Wingwa village & Kigogwe village ( all villages are in Nyarusanga cell ),3021,Suspended Bridge,48,7/2/20,6/8/21,006f100000d1fTFAAY,1014069,2
Rwanda - Kiyovu-buhanda - 1014094,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Rusizi,Kiyovu-buhanda,-2.70183,29.03029,Western Province,Bugarama,Pera/buhanga,1259,Hybrid Suspension Bridge,86,6/20/22,11/3/22,006f100000d1fVpAAI,1014094,3
Rwanda - Kabingo1 - 1014099,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Rusizi,Kabingo1,-2.588367,29.095324,Western Province,Butare,Gatereri/nyakibanda,6500,Suspended Bridge,98,6/20/22,10/6/22,006f100000d1fWJAAY,1014099,2
Rwanda - Rwengezi - 1014104,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Rusizi,Rwengezi,-2.58744,29.10611,Western Province,Butare,Rwambogo,5996,Suspended Bridge,120,6/1/22,9/22/22,006f100000d1fjmAAA,1014104,1
