Opportunity Name,Stage,Fiscal Year,Randomized Order,Research Initiative,Bridge Name,latitude,longitude,Level 1 Government,Level 2 Government,Level 3 Government,Level 4 Government,Sub-Stage,Individuals Directly Served,Bridge Type,Span (m),Ground Breaking Date,Close Date,CaseSafeID,Project Code
Rwanda - Kabuga (Fukwe) - 1014329,Rejected,2019,1,Rwanda Full Scale Research - Randomized and Baselined - Long Term Control,Kabuga (Fukwe),-1.872181,29.92942,Southern Province,Kamonyi,Ngamba,Kabuga,Technical,6500,,,,12/31/18,006f100000eesiUAAQ,1014329
Rwanda - Kabuga - 1013762,Complete,2023,4,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Kabuga,-1.820233,30.013769,Northern Province,Rulindo,Murambi-Ngoma,Mvuzo-Munyarwanda,In Service,1462,Suspended Bridge,40,7/11/22,10/8/22,006f100000d7ktAAAQ,1013762
Rwanda - Kabutimbo - 1015693,Complete,2021,2,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Kabutimbo,-1.621187,29.660569,Northern Province,Gakenke,Rusasa,Rurembo - kamonyi,In Service,1280,Suspended Bridge,55,3/29/21,6/28/21,006f100000fHqCoAAK,1015693
Rwanda - Kadasaya - 1014312,Identified,2025,10,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Kadasaya,-2.041621,29.930816,Southern Province,Kamonyi,Rugalika,Bihembe,Requested,,,,,12/31/24,006f100000eeqs4AAA,1014312
Rwanda - Kaduha - 1014039,Prospecting,2023,8,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Kaduha,-2.234305,29.436305,Western Province,Karongi,Ruganda-Mutuntu,Nyamugwagwa-Murengezo(Kaduha-Karambo),,5357,Suspended Bridge,77,3/15/23,6/12/23,006f100000d1fNWAAY,1014039
Rwanda - Kagarama - 1013226,Identified,2023,15,Rwanda Full Scale Research - Randomized and Baselined - Long Term Control,Kagarama,-2.52151722,29.5878311,Southern Province,Nyamagabe,Kamegeri,Kizi-Gasumba,Requested,3709,Suspended Bridge,,3/28/23,6/2/23,006f100000d75zZAAQ,1013226
Rwanda - Kagarama - 1013867,Complete,2022,6,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Kagarama,-2.13838,29.33504,Western Province,Karongi,Mubuga sector,Kagarama village ( kagabiro  cell )- jurwe village ( ryaruhanga cell ),In Service,3886,Suspended Bridge,70,11/22/21,2/18/22,006f100000d8890AAA,1013867
Rwanda - Kamabuye - 1013011,Confirmed,2023,3,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Kamabuye,-2.30024,29.6845,Southern Province,Nyanza,Cyabakamyi - Mukingo,Nyabinyenga - Cyerezo,,4710,Suspended Bridge,52,3/27/23,6/24/23,006f100000d6wRfAAI,1013011
Rwanda - Kamatsira - 1013899,Complete,2022,6,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Kamatsira,-2.407594,29.163424,Western Province,Nyamasheke,Rangiro,Gakenke ~ Murambi,In Service,3221,Suspended Bridge,57,11/10/21,2/21/22,006f100000d88KmAAI,1013899
Rwanda - Kamiranzogera - 1012810,Complete,2023,13,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Kamiranzogera,-1.93662,29.73471,Southern Province,Muhanga,Kabacuzi,Between Kabuga village of Kabuye cell and Kamiranzogera village of  Kibyimba cell,In Service,3200,Suspended Bridge,68,9/19/22,11/30/22,006f100000d6kt3AAA,1012810
