"Individuals Directly Served","Opportunity Name","Bridge Name","Project Code","Span (m)","Power of One","Bridge Type","GPS (Latitude)","GPS (Longitude)","Level 1 Government","B2P Fiscal Year"
"2400","Rwanda - Cyamtunda - 1002619","Cyamtunda","1002619","68.0","1","Suspended Bridge","-2.2227010000","29.5295560000","Western Province","2013"
"1000","Rwanda - Rugogwe - RW103","Rugogwe","RW103","54.0","1","Suspended Bridge","-1.9208470000","29.6314670000","Western Province","2014"
"12000","Rwanda - Kukibuye - RW114","Kukibuye","RW114","42.0","1","Suspension Bridge","-1.6020560000","29.6360830000","Western Province","2016"
"10000","Rwanda - Tubungo - RW113","Tubungo","RW113","48.0","1","Suspension Bridge","-1.6522500000","29.6344440000","Western Province","2016"
"5780","Rwanda - Mariba - RW115","Mariba","RW115","40.0","1","Suspended Bridge","-1.6886110000","29.5425830000","Western Province","2017"
"4000","Rwanda - Kagarama - 1007325","Kagarama","1007325","48.0","1","Suspension Bridge","-2.3225340000","29.1419440000","Western Province","2018"
"4300","Rwanda - Minigo - 1009064","Minigo","1009064","36.0","1","Suspension Bridge","-1.6920280000","29.2944440000","Western Province","2018"
"170","Rwanda - Rukore - 1009067","Rukore","1009067","61.5","1","Suspended Bridge","-1.7469720000","29.3706110000","Western Province","2018"
"5000","Rwanda - Nkuri - RW125","Nkuri","RW125","79.0","1","Suspended Bridge","-1.9226670000","29.5758330000","Western Province","2018"
"8000","Rwanda - Karehe - RW126","Karehe","RW126","70.0","1","Suspended Bridge","-1.9713330000","29.6027780000","Western Province","2018"
"4100","Rwanda - Kazabe - 1009068","Kazabe","1009068","46.0","1","Suspension Bridge","-1.7236390000","29.3661940000","Western Province","2019"
"2699","Rwanda - Nkuna - 1011309","Nkuna","1011309","78.0","1","Suspended Bridge","-1.7630000000","29.3767900000","Western Province","2019"
"12145","Rwanda - Kazo - 1011307","Kazo","1011307","58.0","1","Suspended Bridge","-1.7728600000","29.3751400000","Western Province","2019"
"4200","Rwanda - Rwamamara - 1010941","Rwamamara","1010941","58.0","1","Suspended Bridge","-1.8311300000","29.6230300000","Western Province","2019"
"2734","Rwanda - Mugeri - 1012457","Mugeri","1012457","63.0","1","Suspended Bridge","-2.0240833300","29.4147222200","Western Province","2019"
"1768","Rwanda - Kivomo - 1013353","Kivomo","1013353","86.0","1","Suspension Bridge","-2.0266160000","29.5763200000","Western Province","2019"
"1468","Rwanda - Kagogo - 1013662","Kagogo","1013662","49.0","1","Suspension Bridge","-1.9012200000","29.3704900000","Western Province","2020"
"3290","Rwanda - Kiruri - 1012813","Kiruri","1012813","50.0","1","Suspended Bridge","-1.9858330000","29.4091600000","Western Province","2020"
"2656","Rwanda - Kivugiza - 1013457","Kivugiza","1013457","55.7","1","Suspended Bridge","-1.9495500000","29.5679300000","Western Province","2020"
"2335","Rwanda - Buhito - 1013541","Buhito","1013541","33.0","1","Suspended Bridge","-1.8179200000","29.5441100000","Western Province","2020"
"1348","Rwanda - Nkora - 1013658","Nkora","1013658","40.0","1","Suspended Bridge","-1.8675000000","29.3241660000","Western Province","2020"
"3294","Rwanda - Kirumbi - 1012986","Kirumbi","1012986","56.0","1","Suspension Bridge","-1.9483300000","29.4936110000","Western Province","2020"
"2141","Rwanda - Butana - 1013652","Butana","1013652","27.0","1","Suspended Bridge","-1.8677700000","29.2897220000","Western Province","2020"
"1641","Rwanda - Rwinyoni - 1013641","Rwinyoni","1013641","45.0","1","Suspended Bridge","-1.8016900000","29.2977600000","Western Province","2020"
"1500","Rwanda - Bushoka - 1007423","Bushoka","1007423","89.0","1","Suspended Bridge","-1.8015790000","29.6458310000","Western Province","2021"
"2102","Rwanda - Muhembe - 1007425","Muhembe","1007425","92.0","1","Suspended Bridge","-1.8248700000","29.6138200000","Western Province","2021"
"540","Rwanda - Mugonero - 1014056","Mugonero","1014056","104.0","1","Suspended Bridge","-2.1476300000","29.3446800000","Western Province","2021"
"4001","Rwanda - Nyabikeri - 1014031","Nyabikeri","1014031","90.0","1","Hybrid Suspension Bridge","-2.2092750000","29.4714500000","Western Province","2021"
"1945","Rwanda - Nyakabande-Bitaba - 1015561","Nyakabande-Bitaba","1015561","97.0","1","Hybrid Suspension Bridge","-2.1095250000","29.3140580000","Western Province","2021"
"3021","Rwanda - Gasharu - 1014069","Gasharu","1014069","48.0","1","Suspended Bridge","-2.1333300000","29.3625000000","Western Province","2021"
"","Rwanda - Rugeshi - 1013459","Rugeshi","1013459","110.0","1","Suspended Bridge","-1.9603800000","29.5403600000","Western Province","2021"
"4053","Rwanda - Gasasa - 1013460","Gasasa","1013460","45.0","1","Suspended Bridge","-1.9537300000","29.5419800000","Western Province","2021"
"1000","Rwanda - Murambi - 1007424","Murambi","1007424","78.0","1","Suspended Bridge","-1.8561670000","29.6226110000","Western Province","2022"
"3587","Rwanda - Mucyabahinja - 1007426","Mucyabahinja","1007426","86.0","1","Suspended Bridge","-1.8198090000","29.6066111000","Western Province","2022"
"3805","Rwanda - Kamiro - 1007444","Kamiro","1007444","58.0","1","Suspended Bridge","-1.6810000000","29.5002400000","Western Province","2022"
"3816","Rwanda - Matyazo - 1013776","Matyazo","1013776","90.0","1","Suspended Bridge","-2.0616500000","29.3950800000","Western Province","2022"
"3981","Rwanda - Kavumbu - 1013029","Kavumbu","1013029","68.0","1","Suspended Bridge","-1.6706900000","29.4683600000","Western Province","2022"
"2762","Rwanda - Gasihe - 1013894","Gasihe","1013894","92.0","1","Suspended Bridge","-2.3608760000","29.1573740000","Western Province","2022"
"3886","Rwanda - Kagarama - 1013867","Kagarama","1013867","70.0","1","Suspended Bridge","-2.1383800000","29.3350400000","Western Province","2022"
"2697","Rwanda - Munini I - 1014052","Munini I","1014052","63.0","1","Suspension Bridge","-2.1883600000","29.3779300000","Western Province","2022"
"10588","Rwanda - Nyabihunyira - 1014011","Nyabihunyira","1014011","78.0","1","Suspended Bridge","-2.5541960000","29.0434920000","Western Province","2022"
"4968","Rwanda - Nyabiyonga - 1013461","Nyabiyonga","1013461","70.0","1","Suspended Bridge","-1.9421600000","29.5583500000","Western Province","2022"
"2412","Rwanda - Mugaseke - 1013721","Mugaseke","1013721","65.0","1","Suspended Bridge","-2.2168360000","29.2837030000","Western Province","2022"
"3221","Rwanda - Kamatsira - 1013899","Kamatsira","1013899","57.0","1","Suspended Bridge","-2.4075940000","29.1634240000","Western Province","2022"
"2825","Rwanda - Kigandi - 1013692","Kigandi","1013692","64.0","1","Suspended Bridge","-2.3260020000","29.1653310000","Western Province","2022"
"7124","Rwanda - Nyagisasa - 1013895","Nyagisasa","1013895","114.0","1","Suspension Bridge","-2.3430730000","29.1404220000","Western Province","2022"
"1259","Rwanda - Kiyovu-buhanda - 1014094","Kiyovu-buhanda","1014094","86.0","1","Hybrid Suspension Bridge","-2.7018300000","29.0302900000","Western Province","2023"
"4871","Rwanda - Kavumu - 1014119","Kavumu","1014119","","1","Suspended Bridge","-2.3760800000","29.1645500000","Western Province","2023"
